CYCLE FEATURE ANALYSIS REPORT
======================================================================

STATISTICAL COMPARISON (sorted by effect size)
----------------------------------------------------------------------
Feature                               Trojaned      Clean    Cohen_d    p-value
gate_xnor_std                           0.2937     0.1384     2.0838     0.0001
rare_gate_density_std                   0.1897     0.0792     1.9589     0.0002
gate_xnor_mean                          0.1044     0.0270     1.9276     0.0001
gate_xnor_frac                          0.1044     0.0270     1.9276     0.0001
gate_xnor_ratio                         0.1044     0.0270     1.9276     0.0001
high_rare_gate_nodes                    0.3529     0.1123     1.8104     0.0003
rare_gate_density_mean                  0.1325     0.0343     1.7376     0.0002
avg_rare_gate_density                   0.1325     0.0343     1.7376     0.0002
rare_gate_density_max                   0.8267     0.4732     1.5135     0.0014
max_rare_gate_density                   0.8267     0.4732     1.5135     0.0014
in_degree_max                           2.7222     2.0833     1.2788     0.0049
avg_neighbor_fanin_max                  0.2570     0.2083     1.2778     0.0084
rare_gate_density_frac                  0.0421     0.0043     1.2453     0.0033
fan_out_norm_mean                       0.7308     0.8886     1.2170     0.0292
dag_longest_path                        0.0685     0.0327     0.9762     0.0401
avg_neighbor_fanin_mean                 0.1877     0.1806     0.9408     0.0168
gate_buf_sum                           17.3333     2.0833     0.8387     0.4304
gate_xor_std                            0.1262     0.0643     0.8213     0.0209
in_cycle_original_max                   0.9964     0.9267     0.8170     0.0957
cone_ratio_std                         42.5708   152.7690     0.7571     0.3198
neighbor_count_mean                     0.0388     0.0369     0.7473     0.0541
transitivity                            0.0009     0.0000     0.7449     0.0065
rare_gate_density_sum                 226.2160    47.6550     0.7378     0.0049
gate_input_sum                          6.4444    15.7500     0.7359     0.1777
gate_xnor_sum                         185.9444    42.3333     0.7358     0.0056
neighbor_count_frac                     0.0018     0.0007     0.7308     0.0286
gate_xor_sum                           29.3889     8.0833     0.7084     0.0259
in_degree_mean                          1.7780     1.6348     0.6937     0.3198
out_degree_mean                         1.7780     1.6348     0.6937     0.3198
edges_per_node                          1.7780     1.6348     0.6937     0.3198
graph_feature_7                         0.3556     0.3270     0.6937     0.3198
graph_feature_8                         0.3556     0.3270     0.6937     0.3198
in_cycle_original_std                   0.2112     0.1689     0.6510     0.1442
cone_ratio_mean                        11.7506    28.3246     0.6478     0.4091
gate_nor_mean                           0.1475     0.2072     0.6463     0.3198
gate_nor_frac                           0.1475     0.2072     0.6463     0.3198
gate_nor_ratio                          0.1475     0.2072     0.6463     0.3198
inverter_density_frac                   0.7652     0.8343     0.6340     0.1824
gate_dff_max                            1.0000     0.8333     0.6325     0.0866
fan_in_norm_max                         1.0000     0.8333     0.6325     0.0866
in_cycle_subgraph_max                   1.0000     0.8333     0.6325     0.0866
sequential_density_max                  1.0000     0.8333     0.6325     0.0866
fan_ratio                               1.6958   154.9325     0.6308     0.6876
inverter_density_std                    0.2582     0.2311     0.6263     0.0720
fan_out_norm_std                        0.1704     0.2024     0.6076     0.0864
reconvergent_node_fraction              0.2300     0.1850     0.6056     0.2500
gate_nor_std                            0.3406     0.3828     0.5876     0.3198
